UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:56 ?        00:00:01 /sbin/init splash
root           2       0  0 20:56 ?        00:00:00 [kthreadd]
root           3       2  0 20:56 ?        00:00:00 [rcu_gp]
root           4       2  0 20:56 ?        00:00:00 [rcu_par_gp]
root           5       2  0 20:56 ?        00:00:00 [slub_flushwq]
root           6       2  0 20:56 ?        00:00:00 [netns]
root           8       2  0 20:56 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 20:56 ?        00:00:01 [kworker/0:1-ata_sff]
root          11       2  0 20:56 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 20:56 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 20:56 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 20:56 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 20:56 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 20:56 ?        00:00:01 [rcu_preempt]
root          17       2  0 20:56 ?        00:00:00 [migration/0]
root          18       2  0 20:56 ?        00:00:00 [idle_inject/0]
root          19       2  0 20:56 ?        00:00:00 [cpuhp/0]
root          20       2  0 20:56 ?        00:00:00 [cpuhp/1]
root          21       2  0 20:56 ?        00:00:00 [idle_inject/1]
root          22       2  0 20:56 ?        00:00:00 [migration/1]
root          23       2  0 20:56 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 20:56 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 20:56 ?        00:00:01 [kworker/u4:1-ext4-rsv-conversion]
root          28       2  0 20:56 ?        00:00:00 [kdevtmpfs]
root          29       2  0 20:56 ?        00:00:00 [inet_frag_wq]
root          30       2  0 20:56 ?        00:00:00 [kauditd]
root          31       2  0 20:56 ?        00:00:00 [khungtaskd]
root          32       2  0 20:56 ?        00:00:00 [oom_reaper]
root          33       2  0 20:56 ?        00:00:00 [kworker/u4:2-events_unbound]
root          34       2  0 20:56 ?        00:00:00 [writeback]
root          35       2  0 20:56 ?        00:00:00 [kcompactd0]
root          36       2  0 20:56 ?        00:00:00 [ksmd]
root          37       2  0 20:56 ?        00:00:00 [khugepaged]
root          38       2  0 20:56 ?        00:00:00 [kintegrityd]
root          39       2  0 20:56 ?        00:00:00 [kblockd]
root          40       2  0 20:56 ?        00:00:00 [blkcg_punt_bio]
root          41       2  0 20:56 ?        00:00:00 [tpm_dev_wq]
root          42       2  0 20:56 ?        00:00:00 [edac-poller]
root          43       2  0 20:56 ?        00:00:00 [devfreq_wq]
root          45       2  0 20:56 ?        00:00:00 [kworker/1:1H-kblockd]
root          46       2  0 20:56 ?        00:00:00 [kswapd0]
root          53       2  0 20:56 ?        00:00:00 [kthrotld]
root          55       2  0 20:56 ?        00:00:00 [acpi_thermal_pm]
root          56       2  0 20:56 ?        00:00:00 [mld]
root          57       2  0 20:56 ?        00:00:00 [kworker/0:1H-kblockd]
root          58       2  0 20:56 ?        00:00:00 [ipv6_addrconf]
root          63       2  0 20:56 ?        00:00:00 [kstrp]
root          67       2  0 20:56 ?        00:00:00 [kworker/u5:0]
root         137       2  0 20:56 ?        00:00:00 [kworker/1:2-events]
root         139       2  0 20:56 ?        00:00:00 [ata_sff]
root         140       2  0 20:56 ?        00:00:00 [scsi_eh_0]
root         141       2  0 20:56 ?        00:00:00 [cryptd]
root         143       2  0 20:56 ?        00:00:00 [scsi_tmf_0]
root         144       2  0 20:56 ?        00:00:00 [irq/18-vmwgfx]
root         145       2  0 20:56 ?        00:00:00 [ttm]
root         149       2  0 20:56 ?        00:00:00 [scsi_eh_1]
root         157       2  0 20:56 ?        00:00:00 [scsi_tmf_1]
root         161       2  0 20:56 ?        00:00:00 [scsi_eh_2]
